Kode Item	Nama Item	Jenis	Konversi	Satuan	Harga Pokok	Harga Retail	Harga Grosir
8998009020193	BUAVITA MANGO 245mll(24)	MNM	24.00	DUS	159,645	164,500	0
8998009020179	BUAVITA ORANGE 245mll(24)	MNM	1.00	PCS	6,651	9,000	7,100
8998009020179	BUAVITA ORANGE 245mll(24)	MNM	24.00	DUS	159,624	164,500	0
8999999616489	BUAVITA PAKET GUAVA+MANGO (1X12X2)	MNM	1.00	PAK	11,569	15,000	12,500
8999999616489	BUAVITA PAKET GUAVA+MANGO (1X12X2)	MNM	12.00	DUS	138,824	143,000	0
6921248708234	BUBBLE GUM AMPLOP(1X24X30)	CANDY	1.00	PCS	1,500	2,000	0
6921248708234	BUBBLE GUM AMPLOP(1X24X30)	CANDY	30.00	BOX	45,000	49,500	47,700
6921248708234	BUBBLE GUM AMPLOP(1X24X30)	CANDY	720.00	DUS	1,080,000	1,112,500	0
8993335531108	BUKRIM KLINY LEMON200G(1X30)	SBN ALT MKN	1.00	PCS	1,667	2,000	1,780
8993335531108	BUKRIM KLINY LEMON200G(1X30)	SBN ALT MKN	30.00	DUS	50,000	51,500	0
8991915101048	BULL20 FILTR(1X10)	ROKOK	1.00	PCS	28,100	30,000	28,750
8991915101048	BULL20 FILTR(1X10)	ROKOK	10.00	SLOF	281,000	284,000	0
MJGN	BUMBU ROKOK MENJANGAN (1X10)	BHN ROKOK	1.00	PCS	1,200	1,500	1,325
MJGN	BUMBU ROKOK MENJANGAN (1X10)	BHN ROKOK	10.00	PAK	12,000	12,600	0
9777168312795	BUNG DAUN TEH(1X10)	TEH	1.00	PCS	1,800	2,500	2,000
9777168312795	BUNG DAUN TEH(1X10)	TEH	10.00	PAK	18,000	19,000	0
BSML	BUSA MILD PREMIUM 25G(1X40)	BHN ROKOK	1.00	BKS	4,231	6,000	5,250
BSRL	BUSA REGULER 25G	BHN ROKOK	1.00	BKS	3,750	5,500	4,500
8991998113419	CAFINO BOLD DRK 25g(12RX10pc)	KOPI	1.00	PCS	1,956	3,000	0
8991998113419	CAFINO BOLD DRK 25g(12RX10pc)	KOPI	10.00	PAK	19,563	22,000	21,000
8991998113419	CAFINO BOLD DRK 25g(12RX10pc)	KOPI	120.00	DUS	234,750	242,000	0
8991998117585	CAFINO MILKY EXPRESO 200ML(12)	KOPI	1.00	PCS	4,000	5,000	4,250
8991998117585	CAFINO MILKY EXPRESO 200ML(12)	KOPI	12.00	DUS	48,000	49,500	0
8991998117684	CAFINO OAT CAPUCINO 200ml(12)	KOPI	1.00	PCS	4,000	5,000	4,250
8991998117684	CAFINO OAT CAPUCINO 200ml(12)	KOPI	12.00	DUS	48,000	49,500	0
8991998119985	CAFINO OAT MARIE 200mll(12)	KOPI	1.00	PCS	4,000	5,000	4,250
8991998119985	CAFINO OAT MARIE 200mll(12)	KOPI	12.00	DUS	48,000	49,500	0
8991998119886	CAFINO SPAINS LATTE 200ml(12)	KOPI	1.00	PCS	4,000	5,000	4,250
8991998119886	CAFINO SPAINS LATTE 200ml(12)	KOPI	12.00	DUS	48,000	49,500	0
8997217370311	CAMEL FRESH BERRY 12(1X10)	ROKOK	1.00	PCS	18,490	19,500	19,000
8997217370311	CAMEL FRESH BERRY 12(1X10)	ROKOK	10.00	SLOF	184,900	187,000	0
CMLKAI	CAMLOK 1000G APPLE ICE	BHN ROKOK	1.00	PCS	120,000	168,000	0
CMFAB	CAMLOK FLAVOUR AMERICAN BLAND 1KG	BHN ROKOK	1.00	PCS	135,000	189,000	0
CFMI	CAMLOK FLAVOUR MANGO ICE	BHN ROKOK	1.00	PCS	135,000	189,000	0
CKGGF	CAMLOK KRETEK GGF 1KG	BHN ROKOK	1.00	PCS	120,000	168,000	0
CMLKKS	CAMLOK KRETEK SURYA 1000G	BHN ROKOK	1.00	PCS	120,000	168,000	0
CMLKM	CAMLOK MILD 1KG	BHN ROKOK	1.00	PCS	120,000	168,000	0
CMLKP	CAMLOK PREMIUM 1KG	BHN ROKOK	1.00	PCS	120,000	168,000	0
KLT	CENGKEH KLINTING (1X10)	BHN ROKOK	1.00	PCS	1,200	1,500	1,325
KLT	CENGKEH KLINTING (1X10)	BHN ROKOK	10.00	PAK	12,000	12,600	0
8993189329579	CHARM COOLING 10P W29(1X12)	PEMBALUT	1.00	PCS	15,900	21,000	18,500
8993189329579	CHARM COOLING 10P W29(1X12)	PEMBALUT	12.00	LSN	190,800	197,000	0
8993189700552	CHARM COOLING 15P(1X12)	PEMBALUT	1.00	PCS	15,900	21,000	18,500
8993189700552	CHARM COOLING 15P(1X12)	PEMBALUT	12.00	LSN	190,800	197,000	0
8993189270420	CHARM NIGHT 11P(1X12)	PEMBALUT	1.00	PCS	14,600	19,000	16,000
8993189270420	CHARM NIGHT 11P(1X12)	PEMBALUT	12.00	LSN	175,200	180,500	0
8993189320286	CHARM NIGHT 12P(1X12)	PEMBALUT	1.00	PCS	15,900	21,000	17,000
8993189320286	CHARM NIGHT 12P(1X12)	PEMBALUT	12.00	LSN	190,800	197,000	0
8993189270284	CHARM NW 8P(1X60)	PEMBALUT	1.00	PCS	4,333	6,000	5,250
8993189270284	CHARM NW 8P(1X60)	PEMBALUT	60.00	DUS	260,000	268,000	0
8993189230103	CHARM SN 29CM 9P(1X48)	PEMBALUT	1.00	PCS	8,042	10,500	9,500
8993189230103	CHARM SN 29CM 9P(1X48)	PEMBALUT	48.00	DUS	386,000	398,000	0
8993189270741	CHARM SN 7P	PEMBALUT	1.00	PCS	19,900	24,000	21,250
089686732016	CHITATO LITE RPT LT 35g(40)	SNACK	1.00	PCS	5,683	7,000	6,250
089686732016	CHITATO LITE RPT LT 35g(40)	SNACK	40.00	DUS	227,300	234,500	0
089686598025	CHITATO SPI PGNG 35g(40)	SNACK	1.00	PCS	5,683	7,000	6,250
089686598025	CHITATO SPI PGNG 35g(40)	SNACK	40.00	DUS	227,300	234,500	0
8992775311981	CHOCOLATOS 12G(1X8X24)	MKAN	1.00	PCS	825	1,000	0
8992775311981	CHOCOLATOS 12G(1X8X24)	MKAN	24.00	BOX	19,800	23,000	21,000
8992775311981	CHOCOLATOS 12G(1X8X24)	MKAN	192.00	DUS	158,400	163,500	0
8992775311615	CHOCOLATOS 6,5G(1X12X24)	MKAN	1.00	PCS	422	500	0
8992775311615	CHOCOLATOS 6,5G(1X12X24)	MKAN	24.00	BOX	10,131	12,000	10,750
8992775311615	CHOCOLATOS 6,5G(1X12X24)	MKAN	288.00	DUS	121,573	125,500	0
8992775001073	CHOCOLATOS BTL 190ML(1X24)	MNM	1.00	PCS	5,017	6,000	5,350
